college,conference
La Salle University,Atlantic 10 Conference
Eastern Washington University,Big Sky Conference
Okaloosa-Walton Community College,Panhandle Conference
Rider University,Metro Atlantic Athletic Conference
Siena College,Metro Atlantic Athletic Conference
University of Michigan,Big Ten Conference
Stony Brook University,American East Conference
Barton County Community College,Kansas Jayhawk Community College Conference
University of Nebraska,Big Ten Conference
University of Florida,Southeastern Conference
Seton Hall University,Big East Conference
Marshall University,Conference USA
Western Michigan University,Mid American Conference
Virginia Military Institute,Southern Conference
South Dakota State University,Summit League Conferece
